# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Full Version
# File: D:\ADC\asvm12120_fft_fast\Quartus\fast_fft\fast_fft.csv
# Generated on: Thu Feb 04 14:59:56 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,Slew Rate,Differential Pair,PCB layer
,Unknown,PIN_161,6,B6_N0,,,,,,,
,Unknown,PIN_162,6,B6_N0,,,,,,,
,Unknown,PIN_163,,,,,,,,,
,Unknown,PIN_164,6,B6_N0,,,,,,,
,Unknown,PIN_165,,,,,,,,,
,Unknown,PIN_166,6,B6_N0,,,,,,,
,Unknown,PIN_167,6,B6_N0,,,,,,,
,Unknown,PIN_168,6,B6_N0,,,,,,,
,Unknown,PIN_169,6,B6_N0,,,,,,,
,Unknown,PIN_170,6,,,,,,,,
,Unknown,PIN_171,6,B6_N0,,,,,,,
,Unknown,PIN_172,,,,,,,,,
,Unknown,PIN_173,6,B6_N0,,,,,,,
,Unknown,PIN_174,,,,,,,,,
,Unknown,PIN_175,,,,,,,,,
,Unknown,PIN_176,6,B6_N0,,,,,,,
,Unknown,PIN_177,6,B6_N0,,,,,,,
,Unknown,PIN_178,,,,,,,,,
,Unknown,PIN_179,,,,,,,,,
,Unknown,PIN_180,,,,,,,,,
,Unknown,PIN_181,7,B7_N0,,,,,,,
,Unknown,PIN_182,7,B7_N0,,,,,,,
,Unknown,PIN_183,7,B7_N0,,,,,,,
,Unknown,PIN_184,7,B7_N0,,,,,,,
,Unknown,PIN_185,7,B7_N0,,,,,,,
,Unknown,PIN_186,7,B7_N0,,,,,,,
,Unknown,PIN_187,7,B7_N0,,,,,,,
,Unknown,PIN_188,7,B7_N0,,,,,,,
,Unknown,PIN_189,7,B7_N0,,,,,,,
,Unknown,PIN_190,,,,,,,,,
,Unknown,PIN_191,,,,,,,,,
,Unknown,PIN_192,7,,,,,,,,
,Unknown,PIN_193,,,,,,,,,
,Unknown,PIN_194,7,B7_N0,,,,,,,
,Unknown,PIN_195,7,B7_N0,,,,,,,
,Unknown,PIN_196,7,B7_N0,,,,,,,
,Unknown,PIN_197,7,B7_N0,,,,,,,
,Unknown,PIN_198,,,,,,,,,
,Unknown,PIN_199,,,,,,,,,
,Unknown,PIN_200,7,B7_N0,,,,,,,
,Unknown,PIN_201,7,B7_N0,,,,,,,
,Unknown,PIN_202,7,B7_N0,,,,,,,
,Unknown,PIN_203,7,B7_N0,,,,,,,
,Unknown,PIN_204,,,,,,,,,
,Unknown,PIN_205,,,,,,,,,
,Unknown,PIN_206,7,,,,,,,,
,Unknown,PIN_207,7,B7_N0,,,,,,,
,Unknown,PIN_208,,,,,,,,,
,Unknown,PIN_209,7,B7_N0,,,,,,,
,Unknown,PIN_210,7,B7_N0,,,,,,,
,Unknown,PIN_211,8,B8_N0,,,,,,,
,Unknown,PIN_212,8,B8_N0,,,,,,,
,Unknown,PIN_213,8,,,,,,,,
,Unknown,PIN_214,8,B8_N0,,,,,,,
,Unknown,PIN_215,,,,,,,,,
,Unknown,PIN_216,8,B8_N0,,,,,,,
,Unknown,PIN_217,8,B8_N0,,,,,,,
,Unknown,PIN_218,8,B8_N0,,,,,,,
,Unknown,PIN_219,8,B8_N0,,,,,,,
,Unknown,PIN_220,,,,,,,,,
,Unknown,PIN_221,8,B8_N0,,,,,,,
,Unknown,PIN_222,,,,,,,,,
,Unknown,PIN_223,8,B8_N0,,,,,,,
,Unknown,PIN_224,8,B8_N0,,,,,,,
,Unknown,PIN_225,8,,,,,,,,
,Unknown,PIN_226,8,B8_N0,,,,,,,
,Unknown,PIN_227,,,,,,,,,
,Unknown,PIN_228,,,,,,,,,
,Unknown,PIN_229,,,,,,,,,
,Unknown,PIN_230,8,B8_N0,,,,,,,
,Unknown,PIN_231,8,B8_N0,,,,,,,
,Unknown,PIN_232,8,B8_N0,,,,,,,
,Unknown,PIN_233,8,B8_N0,,,,,,,
,Unknown,PIN_234,8,B8_N0,,,,,,,
,Unknown,PIN_235,8,B8_N0,,,,,,,
,Unknown,PIN_236,8,B8_N0,,,,,,,
,Unknown,PIN_237,8,B8_N0,,,,,,,
,Unknown,PIN_238,8,B8_N0,,,,,,,
,Unknown,PIN_239,8,B8_N0,,,,,,,
,Unknown,PIN_240,8,B8_N0,,,,,,,
